Matricula_Aluno,Count,Country,State,Cidade,CEP,Lat Long,Latitude,Longitude,Genero,Aluno_Bolsista,Responsavel_com_Parceiro,Aluno_Possui_Dependentes,Meses_na_Escola,Participa_Atividade_Extra,Multiplas_Atividades_Extra,Modalidade_Ensino,Apoio_Psicopedagogico,Reforco_Escolar,Seguro_Material_Didatico,Suporte_TI_Plataforma,Acesso_Aulas_Gravadas,Acesso_Biblioteca_Digital,Tipo_Contrato_Matricula,Comunicados_Digitais,Forma_Pagamento_Mensalidade,Valor_Mensalidade,Total_Pago_Curso,Situacao,Desistencia,Risco_de_Desistencia,Valor_Total_Esperado_Aluno,Churn Reason
2984-TBYKU,1,United States,California,Barstow,92311,"34.965648, -117.001509",34.965648,-117.001509,Male,Não,Sim,Sim,72,Sim,Sim,Híbrido,Sim,Sim,Sim,Sim,Não,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,104.9,7732.65,Ativo,0,25,6378,
7746-AWNQW,1,United States,California,La Jolla,92037,"32.853743, -117.25034",32.853743,-117.25034,Female,Não,Não,Não,28,Não,Não participa,Presencial,Não,Não,Sim,Sim,Não,Não,Mensal,Sim,Boleto Impresso,35.75,961.4,Ativo,0,69,2431,
4851-BQDNX,1,United States,California,Oxnard,93035,"34.18454, -119.224666",34.18454,-119.224666,Male,Não,Sim,Sim,40,Sim,Não,Híbrido,Não,Não,Sim,Não,Sim,Não,Anual,Sim,Boleto Digital,85.05,3355.65,Ativo,0,50,5904,
4745-LSPLO,1,United States,California,San Diego,92111,"32.805518, -117.169052",32.805518,-117.169052,Male,Não,Não,Não,1,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Boleto Impresso,20.5,20.5,Desistente,1,84,3731,Attitude of support person
6941-PMGEP,1,United States,California,Novato,94945,"38.135897, -122.563683",38.135897,-122.563683,Female,Não,Não,Não,5,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto Digital,80.0,412.5,Desistente,1,97,3937,Competitor made better offer
9728-FTTVZ,1,United States,California,Williams,95987,"39.117537, -122.284654",39.117537,-122.284654,Female,Não,Não,Não,1,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,69.2,69.2,Desistente,1,82,4073,Lack of self-service on Website
7145-FEJWU,1,United States,California,San Francisco,94134,"37.721052, -122.413573",37.721052,-122.413573,Female,Não,Não,Sim,12,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,105.3,1275.65,Ativo,0,72,5913,
0306-JAELE,1,United States,California,Tecopa,92389,"35.824572, -116.274755",35.824572,-116.274755,Male,Não,Não,Não,5,Sim,Não,Híbrido,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Boleto Digital,96.1,453.4,Desistente,1,66,4192,Competitor had better devices
9435-JMLSX,1,United States,California,Monte Rio,95462,"38.471049, -123.015549",38.471049,-123.015549,Male,Não,Sim,Não,71,Sim,Não,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Débito Automático,86.1,6045.9,Ativo,0,52,6286,
5835-BEQEU,1,United States,California,Westley,95387,"37.546007, -121.28257",37.546007,-121.28257,Male,Não,Não,Não,3,Sim,Sim,Híbrido,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,76.95,228.4,Desistente,1,92,4428,Don't know
1577-HKTFG,1,United States,California,Elk Grove,95624,"38.434138, -121.30587",38.434138,-121.30587,Female,Não,Sim,Não,30,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Débito Automático,19.65,655.85,Desistente,1,79,2486,Network reliability
9621-OUPYD,1,United States,California,Lancaster,93536,"34.741406, -118.38111",34.741406,-118.38111,Female,Não,Sim,Não,25,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Sim,Débito Automático,20.2,507.9,Ativo,0,23,4129,
2207-RYYRL,1,United States,California,Grass Valley,95945,"39.194539, -120.988066",39.194539,-120.988066,Male,Não,Sim,Sim,52,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Boleto Impresso,24.55,1331.05,Ativo,0,28,5535,
0691-IFBQW,1,United States,California,Biola,93606,"36.798882, -120.019511",36.798882,-120.019511,Female,Sim,Não,Não,46,Sim,Sim,Híbrido,Sim,Sim,Sim,Não,Sim,Sim,Anual,Sim,Boleto Digital,110.0,4874.8,Desistente,1,81,2403,Competitor made better offer
8270-RKSAP,1,United States,California,Anaheim,92801,"33.844983, -117.952151",33.844983,-117.952151,Male,Não,Não,Não,9,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,70.5,597.9,Ativo,0,37,3198,
0168-XZKBB,1,United States,California,Boron,93516,"34.95703, -117.73045",34.95703,-117.73045,Female,Não,Sim,Não,19,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto Digital,86.85,1564.4,Ativo,0,64,5072,
6789-HJBWG,1,United States,California,Livingston,95334,"37.361987, -120.748394",37.361987,-120.748394,Female,Não,Não,Não,12,Sim,Não,Presencial,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,49.4,611.65,Ativo,0,70,5007,
7856-GANIL,1,United States,California,Irvine,92606,"33.703976, -117.824172",33.703976,-117.824172,Male,Sim,Sim,Não,45,Sim,Sim,Híbrido,Não,Sim,Sim,Sim,Sim,Não,Anual,Sim,Débito Automático,98.7,4525.8,Ativo,0,66,2535,
8123-QBNAZ,1,United States,California,Scott Bar,96085,"41.737962, -123.07557",41.737962,-123.07557,Female,Não,Sim,Sim,36,Sim,Sim,Híbrido,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito Recorrente,104.5,3684.95,Ativo,0,49,4102,
6075-SLNIL,1,United States,California,Desert Center,92239,"33.889605, -115.257009",33.889605,-115.257009,Male,Não,Não,Não,38,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito Recorrente,95.1,3691.2,Ativo,0,62,5393,
3373-YZZYM,1,United States,California,Los Gatos,95030,"37.222842, -121.988727",37.222842,-121.988727,Male,Não,Sim,Sim,1,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Boleto Impresso,19.2,19.2,Ativo,0,46,3007,
1455-UGQVH,1,United States,California,Acampo,95220,"38.200231, -121.235034",38.200231,-121.235034,Male,Não,Sim,Não,10,Sim,Sim,Híbrido,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,98.5,1037.75,Desistente,1,91,4501,Lack of self-service on Website
3640-JQGJG,1,United States,California,Pasadena,91101,"34.146635, -118.139225",34.146635,-118.139225,Male,Não,Sim,Sim,13,Sim,Não,Presencial,Não,Não,Não,Não,Não,Não,Mensal,Não,Débito Automático,44.8,559.2,Ativo,0,44,4680,
3230-WYKIR,1,United States,California,San Francisco,94110,"37.750021, -122.415201",37.750021,-122.415201,Male,Não,Não,Não,18,Sim,Sim,Presencial,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cartão de Crédito Recorrente,82.0,1425.45,Desistente,1,79,3306,Product dissatisfaction
2580-ASVVY,1,United States,California,San Ysidro,92173,"32.555828, -117.040073",32.555828,-117.040073,Female,Não,Sim,Não,37,Não,Não participa,Presencial,Sim,Não,Não,Sim,Sim,Não,Plano de Ciclo Completo,Não,Boleto Digital,45.4,1593.1,Ativo,0,33,4051,
2739-CCZMB,1,United States,California,Alleghany,95910,"39.467828, -120.841386",39.467828,-120.841386,Male,Não,Não,Sim,5,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Cartão de Crédito Recorrente,20.35,122,Ativo,0,60,3161,
4503-BDXBD,1,United States,California,Anaheim,92808,"33.850452, -117.726668",33.850452,-117.726668,Male,Não,Não,Não,11,Sim,Não,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Não,Boleto Digital,74.95,815.5,Desistente,1,76,4251,Attitude of support person
9974-JFBHQ,1,United States,California,Del Rey,93616,"36.657462, -119.595293",36.657462,-119.595293,Male,Não,Não,Sim,64,Sim,Não,Híbrido,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito Recorrente,99.15,6171.2,Ativo,0,52,4590,
4727-MCYZG,1,United States,California,Union City,94587,"37.59485, -122.051521",37.59485,-122.051521,Male,Não,Não,Não,1,Sim,Não,Presencial,Não,Não,Não,Não,Não,Sim,Mensal,Não,Boleto Impresso,55.55,55.55,Ativo,0,35,2207,
3990-QYKBE,1,United States,California,La Canada Flintridge,91011,"34.234912, -118.153729",34.234912,-118.153729,Male,Sim,Sim,Não,37,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,92.5,3473.4,Desistente,1,95,4127,Competitor had better devices
6891-JPYFF,1,United States,California,San Jose,95121,"37.304681, -121.809955",37.304681,-121.809955,Female,Não,Sim,Sim,48,Sim,Sim,Híbrido,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito Recorrente,105.25,4997.5,Ativo,0,79,4275,
1626-ERCMM,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,Male,Sim,Sim,Não,20,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,94.55,1899.65,Desistente,1,84,5604,Competitor had better devices
8663-UPDGF,1,United States,California,Whittier,90605,"33.960891, -118.032222",33.960891,-118.032222,Female,Não,Não,Não,26,Sim,Sim,Presencial,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Débito Automático,69.5,1800.05,Ativo,0,55,3866,
0839-QNXME,1,United States,California,Surfside,90743,"33.728273, -118.085304",33.728273,-118.085304,Female,Não,Não,Não,30,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,19.4,578.5,Ativo,0,78,3986,
8990-YOZLV,1,United States,California,Hickman,95323,"37.605926, -120.69955",37.605926,-120.69955,Female,Não,Não,Não,69,Sim,Sim,Presencial,Sim,Sim,Não,Sim,Não,Não,Plano de Ciclo Completo,Sim,Boleto Impresso,66.9,4577.9,Ativo,0,68,5059,
1187-WILMM,1,United States,California,Lindsay,93247,"36.205465, -119.085807",36.205465,-119.085807,Male,Não,Sim,Não,63,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,89.4,5597.65,Ativo,0,80,5004,
4903-UYAVB,1,United States,California,Lathrop,95330,"37.80821, -121.308401",37.80821,-121.308401,Male,Não,Sim,Não,5,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Boleto Impresso,19.35,126.05,Desistente,1,97,3864,Competitor made better offer
4884-LEVMQ,1,United States,California,Valley Springs,95252,"38.156971, -120.849231",38.156971,-120.849231,Male,Não,Sim,Não,39,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Sim,Débito Automático,20.45,790,Ativo,0,80,2165,
0702-PGIBZ,1,United States,California,Dutch Flat,95714,"39.197215, -120.83679",39.197215,-120.83679,Male,Não,Não,Não,4,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,101.7,364.55,Desistente,1,91,2777,Competitor made better offer
3716-LRGXK,1,United States,California,San Jose,95136,"37.270938, -121.851046",37.270938,-121.851046,Male,Não,Sim,Não,60,Sim,Sim,Híbrido,Não,Não,Sim,Não,Sim,Sim,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,101.15,6067.4,Ativo,0,35,5301,
5449-FIBXJ,1,United States,California,San Jose,95127,"37.375156, -121.795867",37.375156,-121.795867,Male,Não,Sim,Não,19,Sim,Sim,Híbrido,Não,Não,Sim,Sim,Sim,Sim,Mensal,Não,Boleto Digital,103.3,2012.7,Desistente,1,67,2349,Lack of affordable download/upload speed
6688-UZPWD,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",33.839989,-116.659215,Female,Não,Sim,Não,11,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,102.0,1145.35,Desistente,1,88,5750,Competitor offered more data
1254-IZEYF,1,United States,California,Cutler,93615,"36.497895, -119.285484",36.497895,-119.285484,Female,Sim,Não,Não,31,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,99.95,3186.65,Desistente,1,96,5362,Competitor made better offer
0215-BQKGS,1,United States,California,Garden Grove,92844,"33.766476, -117.969795",33.766476,-117.969795,Male,Não,Não,Não,30,Sim,Não,Híbrido,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de Crédito Recorrente,84.3,2438.6,Ativo,0,66,5393,
3785-KTYSH,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,Não,Não,Não,53,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Boleto Impresso,24.6,1279,Ativo,0,44,4610,
8481-YYXWG,1,United States,California,Hume,93628,"36.807595, -118.901544",36.807595,-118.901544,Female,Não,Não,Não,5,Sim,Não,Híbrido,Não,Sim,Não,Sim,Não,Sim,Mensal,Sim,Boleto Digital,89.35,461.7,Desistente,1,70,4584,Network reliability
0549-CYCQN,1,United States,California,Flournoy,96029,"39.84784, -122.544556",39.84784,-122.544556,Male,Sim,Não,Não,51,Sim,Sim,Híbrido,Não,Sim,Não,Não,Não,Não,Anual,Sim,Débito Automático,79.6,3974.7,Ativo,0,59,4673,
2194-IIQOF,1,United States,California,Sunnyvale,94087,"37.3511, -122.037311",37.3511,-122.037311,Female,Não,Sim,Não,71,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,89.3,6388.65,Ativo,0,30,4658,
2481-SBOYW,1,United States,California,San Bernardino,92405,"34.142747, -117.300864",34.142747,-117.300864,Female,Não,Não,Sim,61,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,25.0,1498.35,Ativo,0,54,4673,
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Male,Sim,Não,Não,8,Sim,Não,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,74.5,606.55,Desistente,1,80,4345,Poor expertise of online support
8735-DCXNF,1,United States,California,Pilot Hill,95664,"38.803731, -121.043799",38.803731,-121.043799,Male,Não,Sim,Não,10,Sim,Não,Presencial,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cartão de Crédito Recorrente,54.95,568.85,Ativo,0,26,3519,
7176-WIONM,1,United States,California,Bishop,93514,"37.04584, -118.397236",37.04584,-118.397236,Female,Não,Sim,Não,12,Não,Não participa,Presencial,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito Automático,49.85,617.15,Ativo,0,24,2873,
8548-AWOFC,1,United States,California,Huntington Beach,92647,"33.723579, -118.005441",33.723579,-118.005441,Male,Não,Sim,Não,66,Sim,Sim,Presencial,Não,Não,Não,Sim,Não,Sim,Mensal,Não,Boleto Digital,63.85,4264.6,Ativo,0,72,5956,
6620-HVDUJ,1,United States,California,Fresno,93701,"36.749403, -119.787574",36.749403,-119.787574,Male,Não,Não,Não,24,Sim,Não,Presencial,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Débito Automático,60.45,1440.75,Ativo,0,56,5095,
8976-OQHGT,1,United States,California,Lomita,90717,"33.794209, -118.317354",33.794209,-118.317354,Female,Não,Sim,Sim,4,Sim,Não,Presencial,Não,Sim,Não,Sim,Não,Não,Mensal,Não,Boleto Impresso,56.5,235.1,Desistente,1,99,5758,Lack of self-service on Website
4951-UKAAQ,1,United States,California,Inglewood,90302,"33.975332, -118.355252",33.975332,-118.355252,Female,Não,Não,Não,4,Sim,Sim,Híbrido,Não,Sim,Não,Não,Não,Sim,Mensal,Sim,Boleto Digital,88.95,355.2,Desistente,1,72,5948,Network reliability
6693-DJWTY,1,United States,California,Inglewood,90304,"33.936827, -118.359824",33.936827,-118.359824,Female,Não,Não,Sim,35,Sim,Não,Presencial,Sim,Sim,Não,Não,Não,Não,Anual,Não,Cartão de Crédito Recorrente,55.6,2016.45,Ativo,0,80,5964,
6563-VNPMN,1,United States,California,Sylmar,91342,"34.321621, -118.399841",34.321621,-118.399841,Female,Sim,Não,Não,45,Sim,Não,Híbrido,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Débito Automático,85.7,3778.1,Ativo,0,44,5397,
6333-YDVLT,1,United States,California,Oakland,94607,"37.80707, -122.297401",37.80707,-122.297401,Male,Não,Não,Não,65,Sim,Sim,Híbrido,Sim,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cartão de Crédito Recorrente,110.0,7138.65,Ativo,0,78,6351,
6551-GNYDG,1,United States,California,Long Beach,90808,"33.823943, -118.111335",33.823943,-118.111335,Female,Não,Sim,Sim,14,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito Automático,80.9,1152.8,Ativo,0,46,2563,
2405-LBMUW,1,United States,California,Oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,Female,Não,Sim,Sim,61,Não,Não participa,Presencial,Sim,Sim,Não,Sim,Não,Sim,Anual,Sim,Débito Automático,50.7,3088.75,Ativo,0,22,5024,
9541-ZPSEA,1,United States,California,San Andreas,95249,"38.196497, -120.61689",38.196497,-120.61689,Male,Não,Sim,Sim,68,Sim,Não,Híbrido,Sim,Não,Sim,Não,Não,Não,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,80.35,5375.15,Ativo,0,33,5954,
6543-JXSOO,1,United States,California,Clipper Mills,95930,"39.562239, -121.14836",39.562239,-121.14836,Female,Não,Sim,Não,23,Sim,Não,Presencial,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,Boleto Impresso,57.75,1282.85,Ativo,0,22,3794,
6968-GMKPR,1,United States,California,French Gulch,96033,"40.740138, -122.587476",40.740138,-122.587476,Female,Não,Não,Não,55,Sim,Não,Híbrido,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Boleto Digital,81.55,4509.5,Ativo,0,80,5167,
4195-PNGZS,1,United States,California,Irvine,92620,"33.716136, -117.752574",33.716136,-117.752574,Male,Não,Sim,Sim,69,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Débito Automático,24.45,1718.2,Ativo,0,39,5295,
4646-QZXTF,1,United States,California,San Juan Bautista,95045,"36.810568, -121.503022",36.810568,-121.503022,Female,Não,Sim,Não,7,Sim,Não,Presencial,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Débito Automático,81.25,580.1,Ativo,0,57,5928,
7564-GHCVB,1,United States,California,San Simeon,93452,"35.746484, -121.223355",35.746484,-121.223355,Female,Não,Sim,Não,72,Sim,Sim,Híbrido,Sim,Não,Não,Não,Não,Não,Plano de Ciclo Completo,Não,Débito Automático,79.05,5730.7,Ativo,0,40,4689,
1534-OULXE,1,United States,California,Atherton,94027,"37.454924, -122.203168",37.454924,-122.203168,Female,Não,Sim,Sim,61,Sim,Não,Presencial,Sim,Não,Não,Não,Não,Não,Anual,Sim,Débito Automático,49.7,2961.4,Ativo,0,46,4577,
8348-JLBUG,1,United States,California,North San Juan,95960,"39.423046, -120.984472",39.423046,-120.984472,Male,Sim,Sim,Não,64,Sim,Não,Híbrido,Sim,Não,Sim,Não,Não,Não,Anual,Não,Cartão de Crédito Recorrente,80.3,5017.7,Ativo,0,34,4270,
8290-YWKHZ,1,United States,California,Apple Valley,92307,"34.55082, -117.122396",34.55082,-117.122396,Female,Sim,Sim,Não,32,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,93.2,2931,Desistente,1,90,5247,Attitude of service provider
