Matricula_Aluno,Situacao_Atual,Desistencia_Real,Probabilidade_Churn,Predicao_Churn,Meses_na_Escola,Modalidade_Ensino,Valor_Mensalidade,Tipo_Contrato_Matricula,Forma_Pagamento_Mensalidade,Genero,Aluno_Bolsista,Participa_Atividade_Extra,Apoio_Psicopedagogico,Reforco_Escolar,Risco_de_Desistencia,Nivel_Risco,Ranking
4299-SIMNS,Ativo,0,0.7361320526189453,1,9,Híbrido,81.15,Mensal,Boleto Digital,Male,Não,Sim,Sim,Não,68,ALTO,32
2985-FMWYF,Ativo,0,0.7350361339239952,1,23,Híbrido,93.5,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,73,ALTO,33
4291-SHSBH,Ativo,0,0.7330478627616002,1,7,Híbrido,69.55,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,71,ALTO,34
8873-GLDMH,Ativo,0,0.7325316837506125,1,6,Híbrido,73.85,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,76,ALTO,35
7365-BVCJH,Ativo,0,0.7312433740639069,1,1,Presencial,24.4,Mensal,Boleto Digital,Male,Não,Não,Não,Não,66,ALTO,36
3496-LFSZU,Ativo,0,0.7305589990366589,1,4,Híbrido,70.5,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,68,ALTO,37
0432-CAJZV,Ativo,0,0.7250719432687966,1,3,Híbrido,90.7,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,69,ALTO,38
5119-NZPTV,Ativo,0,0.7235192172304175,1,2,Híbrido,70.1,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,74,ALTO,39
2080-GKCWQ,Ativo,0,0.7234294773559639,1,2,Híbrido,74.95,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,76,ALTO,40
9957-YODKZ,Ativo,0,0.7209483816603303,1,6,Híbrido,80.8,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,68,ALTO,41
0196-JTUQI,Ativo,0,0.7195116947058916,1,9,Híbrido,75.2,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,68,ALTO,42
0899-LIIBW,Ativo,0,0.7148921767131036,1,34,Híbrido,100.85,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,76,ALTO,43
8778-LMWTJ,Ativo,0,0.7129131568681244,1,9,Híbrido,74.85,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,66,ALTO,44
9552-TGUZV,Ativo,0,0.7127251935716792,1,8,Híbrido,75.0,Mensal,Boleto Impresso,Male,Não,Sim,Sim,Não,80,ALTO,45
4813-HQMGZ,Ativo,0,0.7114868770802513,1,8,Híbrido,90.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,76,ALTO,46
2809-ZMYOQ,Ativo,0,0.711208118515168,1,32,Híbrido,101.35,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,72,ALTO,47
0365-BZUWY,Ativo,0,0.7075787938205919,1,17,Híbrido,102.55,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,75,ALTO,48
0958-YHXGP,Ativo,0,0.7075369801127647,1,7,Híbrido,69.9,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,80,ALTO,49
6833-JMZYP,Ativo,0,0.7066476165763025,1,15,Híbrido,94.0,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,77,ALTO,50
7426-RHZGU,Ativo,0,0.7024428845301347,1,9,Híbrido,95.9,Mensal,Débito Automático,Male,Não,Sim,Não,Não,66,ALTO,51
1028-FFNJK,Ativo,0,0.6958765633142234,1,30,Híbrido,101.5,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,73,ALTO,52
1226-IENZN,Ativo,0,0.695196829148225,1,16,Híbrido,78.75,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,74,ALTO,53
8132-YPVBX,Ativo,0,0.691014549900476,1,6,Híbrido,85.95,Mensal,Boleto Impresso,Female,Não,Sim,Não,Sim,80,ALTO,54
8035-PWSEV,Ativo,0,0.6895877522036392,1,6,Híbrido,89.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,76,ALTO,55
0988-JRWWP,Ativo,0,0.6863505765496904,1,3,Presencial,54.2,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,68,ALTO,56
9360-OMDZZ,Ativo,0,0.6861004055014893,1,24,Híbrido,94.1,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,69,ALTO,57
4195-NZGTA,Ativo,0,0.6858745020954174,1,1,Presencial,25.25,Mensal,Boleto Digital,Female,Não,Não,Não,Não,73,ALTO,58
4146-SVFUD,Ativo,0,0.6840344895964485,1,1,Presencial,44.6,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,77,ALTO,59
5035-BVCXS,Ativo,0,0.6818434933567066,1,11,Híbrido,75.9,Mensal,Boleto Impresso,Male,Não,Sim,Não,Sim,70,ALTO,60
7928-VJYAB,Ativo,0,0.6799492555856352,1,11,Híbrido,90.6,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,65,ALTO,61
5348-CAGXB,Ativo,0,0.6782882084954002,1,12,Híbrido,89.55,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,79,ALTO,62
3466-RITXD,Ativo,0,0.6764960486033936,1,26,Híbrido,92.4,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,75,ALTO,63
6729-GDNGC,Ativo,0,0.6743713237268125,1,20,Híbrido,80.7,Mensal,Débito Automático,Female,Sim,Sim,Não,Não,73,ALTO,64
2103-ZRXFN,Ativo,0,0.6740092189592929,1,1,Presencial,50.75,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,69,ALTO,65
2135-DQWAQ,Ativo,0,0.6733398855479628,1,5,Híbrido,85.3,Mensal,Boleto Impresso,Female,Não,Sim,Não,Sim,67,ALTO,66
3422-GALYP,Ativo,0,0.6685356957060737,1,2,Híbrido,79.45,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,65,ALTO,67
5858-EAFCZ,Ativo,0,0.6650928051507741,1,1,Presencial,44.45,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,74,ALTO,68
9208-OLGAQ,Ativo,0,0.6645737555272202,1,18,Híbrido,84.95,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,74,ALTO,69
5879-SESNB,Ativo,0,0.6625948180910269,1,11,Híbrido,75.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,75,ALTO,70
9643-AVVWI,Ativo,0,0.6612954685164606,1,3,Híbrido,80.0,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,76,ALTO,71
4884-ZTHVF,Ativo,0,0.6601896834376202,1,8,Híbrido,87.1,Mensal,Boleto Digital,Female,Sim,Sim,Não,Sim,65,ALTO,72
4686-UXDML,Ativo,0,0.6598846947468566,1,21,Híbrido,99.85,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Sim,74,ALTO,73
0480-BIXDE,Ativo,0,0.6541627990690264,1,19,Híbrido,96.8,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,66,ALTO,74
4559-UWIHT,Ativo,0,0.6541592048152226,1,14,Híbrido,82.65,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,79,ALTO,75
7517-LDMPS,Ativo,0,0.6512593002127295,1,12,Híbrido,84.6,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,75,ALTO,76
9927-DSWDF,Ativo,0,0.64963251800899,1,22,Híbrido,104.6,Mensal,Boleto Digital,Male,Não,Sim,Sim,Sim,68,ALTO,77
8875-AKBYH,Ativo,0,0.6443406966247682,1,20,Híbrido,84.35,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,70,ALTO,78
9129-UXERG,Ativo,0,0.643883646744348,1,18,Híbrido,103.6,Mensal,Cartão de Crédito Recorrente,Female,Sim,Sim,Não,Sim,73,ALTO,79
0670-KDOMA,Ativo,0,0.641345040101583,1,1,EAD,20.25,Mensal,Boleto Impresso,Female,Não,Sim,Não se aplica,Não se aplica,69,ALTO,80
8709-KRDVL,Ativo,0,0.6401263706271252,1,33,Híbrido,100.0,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,76,ALTO,81
5351-QESIO,Ativo,0,0.6394040132310136,1,1,Presencial,24.2,Mensal,Boleto Impresso,Male,Não,Não,Não,Não,80,ALTO,82
0147-ESWWR,Ativo,0,0.6391704887809786,1,39,Híbrido,101.25,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,77,ALTO,83
9840-EFJQB,Ativo,0,0.6378636524193984,1,1,Híbrido,74.35,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,80,ALTO,84
1508-DFXCU,Ativo,0,0.6371547285646763,1,12,Híbrido,81.45,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,70,ALTO,85
9272-LSVYH,Ativo,0,0.6345323886918466,1,10,Híbrido,70.15,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,78,ALTO,86
1391-UBDAR,Ativo,0,0.6343346452465172,1,11,Híbrido,72.9,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,71,ALTO,87
9094-AZPHK,Ativo,0,0.6339589661868517,1,15,Híbrido,100.15,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,65,ALTO,88
1346-UFHAX,Ativo,0,0.6337777315633087,1,13,Híbrido,80.0,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Não,78,ALTO,89
7181-OQCUT,Ativo,0,0.6333185678412979,1,21,Híbrido,103.85,Mensal,Boleto Impresso,Male,Não,Sim,Sim,Não,77,ALTO,90
8212-DJRCH,Ativo,0,0.6329309016094734,1,5,Híbrido,90.35,Mensal,Boleto Impresso,Male,Não,Sim,Sim,Não,66,ALTO,91
6583-KQJLK,Ativo,0,0.6318225958564192,1,15,Híbrido,94.65,Mensal,Boleto Digital,Female,Sim,Sim,Não,Sim,70,ALTO,92
7129-ACFOG,Ativo,0,0.6315283730121642,1,5,Presencial,53.8,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,78,ALTO,93
4553-DVPZG,Ativo,0,0.6296562054911007,1,62,Híbrido,101.35,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,77,ALTO,94
9121-PHQSR,Ativo,0,0.6276933501237104,1,16,Híbrido,85.05,Mensal,Cartão de Crédito Recorrente,Male,Sim,Sim,Não,Não,80,ALTO,95
2603-HVKCG,Ativo,0,0.6234743235040645,1,31,Híbrido,101.4,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,72,ALTO,96
3317-VLGQT,Ativo,0,0.623296227949528,1,14,Híbrido,78.1,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,68,ALTO,97
6175-IRFIT,Ativo,0,0.6223911770300206,1,5,Híbrido,78.75,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,66,ALTO,98
7315-WYOAW,Ativo,0,0.6223135527818939,1,13,Híbrido,100.75,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,80,ALTO,99
8107-KNCIM,Ativo,0,0.6205460310713509,1,14,Híbrido,75.1,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,66,ALTO,100
0674-DGMAQ,Ativo,0,0.6184514730278522,1,32,Híbrido,93.5,Mensal,Boleto Digital,Male,Sim,Sim,Não,Sim,77,ALTO,101
4026-SKKHW,Ativo,0,0.6181689678807003,1,3,Presencial,50.25,Mensal,Boleto Impresso,Male,Não,Sim,Não,Não,76,ALTO,102
4223-WOZCM,Ativo,0,0.6170153690920981,1,2,Presencial,49.95,Mensal,Boleto Impresso,Male,Sim,Sim,Não,Não,78,ALTO,103
2692-BUCFV,Ativo,0,0.6169355205828265,1,29,Híbrido,101.45,Mensal,Débito Automático,Male,Sim,Sim,Não,Sim,76,ALTO,104
9903-LYSAB,Ativo,0,0.6157228005582113,1,18,Híbrido,73.15,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,73,ALTO,105
8620-RJPZN,Ativo,0,0.6140835875714283,1,1,EAD,20.7,Mensal,Boleto Digital,Female,Não,Sim,Não se aplica,Não se aplica,68,ALTO,106
2203-GHNWN,Ativo,0,0.6134439986921849,1,24,Híbrido,79.65,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,72,ALTO,107
7442-YGZFK,Ativo,0,0.6131028571274068,1,1,Presencial,49.8,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,79,ALTO,108
6185-TASNN,Ativo,0,0.6092325051878961,1,1,Presencial,46.3,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,65,ALTO,109
9773-PEQBZ,Ativo,0,0.6081091287649201,1,10,Híbrido,79.85,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,65,ALTO,110
5453-AXEPF,Ativo,0,0.6057126488269289,1,17,Híbrido,80.5,Mensal,Débito Automático,Male,Não,Sim,Não,Sim,76,ALTO,111
5129-JLPIS,Ativo,0,0.6052012709490671,1,25,Híbrido,105.5,Mensal,Boleto Digital,Male,Não,Sim,Sim,Não,75,ALTO,112
7801-KICAO,Ativo,0,0.6038665360400615,1,18,Híbrido,74.15,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,73,ALTO,113
5429-LWCMV,Ativo,0,0.5993558863467628,1,12,Híbrido,89.15,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,80,MÉDIO,114
0730-KOAVE,Ativo,0,0.5988313696052965,1,30,Híbrido,94.3,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,75,MÉDIO,115
4360-PNRQB,Ativo,0,0.5984891200071736,1,18,Híbrido,75.6,Mensal,Débito Automático,Male,Não,Sim,Não,Não,78,MÉDIO,116
6923-JHPMP,Ativo,0,0.5975859360189762,1,2,Híbrido,80.45,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,67,MÉDIO,117
7009-LGECI,Ativo,0,0.5968136413992181,1,4,Presencial,50.55,Mensal,Débito Automático,Female,Não,Sim,Sim,Não,78,MÉDIO,118
9667-TKTVZ,Ativo,0,0.5946497514975123,1,2,Presencial,54.35,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,71,MÉDIO,119
4760-THGOT,Ativo,0,0.5939293025534732,1,43,Híbrido,94.1,Mensal,Boleto Digital,Female,Não,Sim,Sim,Sim,71,MÉDIO,120
6907-FLBER,Ativo,0,0.5937405538814793,1,1,Presencial,54.3,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,78,MÉDIO,121
2360-RDGRO,Ativo,0,0.592715537481348,1,65,Híbrido,104.25,Mensal,Boleto Digital,Male,Não,Sim,Sim,Não,70,MÉDIO,122
7858-GTZSP,Ativo,0,0.5923305706746222,1,12,Híbrido,86.55,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,71,MÉDIO,123
2187-PKZAY,Ativo,0,0.5898734261189393,1,12,Híbrido,79.95,Mensal,Débito Automático,Male,Não,Sim,Não,Não,71,MÉDIO,124
9133-AYJZG,Ativo,0,0.588392635049144,1,23,Híbrido,98.7,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Sim,71,MÉDIO,125
6745-JEFZB,Ativo,0,0.5880329961626275,1,35,Híbrido,91.5,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,78,MÉDIO,126
5628-FCGYG,Ativo,0,0.5878617449822718,1,21,Híbrido,84.1,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,69,MÉDIO,127
5365-LLFYV,Ativo,0,0.5854617717347232,1,2,Presencial,45.85,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,65,MÉDIO,128
6242-MBHPK,Ativo,0,0.5852815317755894,1,23,Híbrido,95.1,Mensal,Boleto Digital,Female,Sim,Sim,Sim,Não,66,MÉDIO,129
8630-FJLIB,Ativo,0,0.5846951851376738,1,18,Híbrido,69.8,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,68,MÉDIO,130
2697-NQBPF,Ativo,0,0.5814655112597564,1,34,Híbrido,105.35,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,74,MÉDIO,131
0365-GXEZS,Ativo,0,0.5797377877557431,1,18,Híbrido,78.2,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,79,MÉDIO,132
5022-KVDQT,Ativo,0,0.5747634089182581,1,27,Híbrido,81.3,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,72,MÉDIO,133
2592-YKDIF,Ativo,0,0.5745408889065848,1,1,EAD,20.35,Mensal,Boleto Impresso,Female,Não,Sim,Não se aplica,Não se aplica,72,MÉDIO,134
3050-GBUSH,Ativo,0,0.5729320901458713,1,3,Presencial,34.8,Mensal,Cartão de Crédito Recorrente,Female,Não,Não,Não,Não,67,MÉDIO,135
4128-ETESU,Ativo,0,0.56985647866481,1,47,Híbrido,99.7,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,67,MÉDIO,136
5222-IMUKT,Ativo,0,0.5696610934512699,1,32,Híbrido,91.05,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,80,MÉDIO,137
4329-YPDDQ,Ativo,0,0.568575584542321,1,20,Híbrido,108.2,Mensal,Débito Automático,Male,Não,Sim,Sim,Sim,67,MÉDIO,138
5626-MGTUK,Ativo,0,0.5672212901542006,1,20,Híbrido,89.1,Mensal,Débito Automático,Female,Não,Sim,Sim,Não,70,MÉDIO,139
5839-SUYVZ,Ativo,0,0.5658964080220991,1,16,Híbrido,74.55,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,70,MÉDIO,140
2081-VEYEH,Ativo,0,0.5657163495945602,1,3,Híbrido,107.95,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,70,MÉDIO,141
0374-IOEGQ,Ativo,0,0.5634747083767797,1,3,Presencial,44.6,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,74,MÉDIO,142
3930-ZGWVE,Ativo,0,0.5631721859872536,1,1,EAD,19.75,Mensal,Boleto Impresso,Male,Não,Sim,Não se aplica,Não se aplica,68,MÉDIO,143
5649-RXQTV,Ativo,0,0.5622007457833349,1,51,Híbrido,99.0,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,78,MÉDIO,144
5175-WLYXL,Ativo,0,0.562118306582646,1,22,Híbrido,78.85,Mensal,Boleto Impresso,Male,Não,Sim,Não,Sim,75,MÉDIO,145
8903-XEBGX,Ativo,0,0.561971849994344,1,2,Presencial,55.3,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,67,MÉDIO,146
1436-ZMJAN,Ativo,0,0.561179202687062,1,10,Presencial,67.8,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,79,MÉDIO,147
2041-JIJCI,Ativo,0,0.5609038001669486,1,5,Presencial,64.0,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,75,MÉDIO,148
3620-MWJNE,Ativo,0,0.560638324262458,1,2,Presencial,54.45,Mensal,Boleto Impresso,Male,Não,Sim,Sim,Não,77,MÉDIO,149
5117-IFGPS,Ativo,0,0.5575732514691343,1,29,Híbrido,84.3,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,67,MÉDIO,150
4537-DKTAL,Ativo,0,0.5572825604033409,1,2,Presencial,45.55,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,70,MÉDIO,151
3733-LSYCE,Ativo,0,0.5571135365220103,1,15,Híbrido,75.35,Mensal,Débito Automático,Female,Não,Sim,Não,Sim,67,MÉDIO,152
0434-CSFON,Ativo,0,0.5566962940638278,1,47,Híbrido,100.5,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,70,MÉDIO,153
7901-TBKJX,Ativo,0,0.5565604258554343,1,56,Híbrido,101.05,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,65,MÉDIO,154
8818-DOPVL,Ativo,0,0.5561157908758413,1,46,Híbrido,104.45,Mensal,Boleto Digital,Female,Sim,Sim,Não,Sim,76,MÉDIO,155
1550-EENBN,Ativo,0,0.5555017494236877,1,31,Híbrido,104.35,Mensal,Boleto Digital,Female,Não,Sim,Sim,Sim,78,MÉDIO,156
2971-SGAFL,Ativo,0,0.5549939667935861,1,13,Presencial,78.75,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,79,MÉDIO,157
1635-FJFCC,Ativo,0,0.5540375051917992,1,5,Presencial,44.05,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,74,MÉDIO,158
6522-YRBXD,Ativo,0,0.552255537501163,1,35,Híbrido,94.55,Mensal,Boleto Digital,Male,Sim,Sim,Sim,Sim,69,MÉDIO,159
9626-WEQRM,Ativo,0,0.5482858233192441,1,4,Presencial,29.15,Mensal,Boleto Impresso,Female,Não,Não,Sim,Não,78,MÉDIO,160
2740-TVLFN,Ativo,0,0.5480881353619284,1,1,Presencial,50.15,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,80,MÉDIO,161
8930-XOTDP,Ativo,0,0.5480785188311471,1,18,Presencial,55.95,Mensal,Boleto Impresso,Female,Não,Sim,Não,Não,76,MÉDIO,162
2874-YXVVA,Ativo,0,0.5478308501092931,1,34,Híbrido,105.1,Mensal,Boleto Digital,Female,Não,Sim,Não,Sim,68,MÉDIO,163
3771-PZOBW,Ativo,0,0.5477922556259587,1,20,Híbrido,90.7,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,77,MÉDIO,164
5186-EJEGL,Ativo,0,0.5469758069061357,1,9,Presencial,69.5,Mensal,Boleto Impresso,Male,Não,Sim,Sim,Não,72,MÉDIO,165
4291-HPAXL,Ativo,0,0.5459177715057845,1,1,EAD,19.85,Mensal,Boleto Impresso,Male,Não,Sim,Não se aplica,Não se aplica,75,MÉDIO,166
2988-PLAHS,Ativo,0,0.5458063940753752,1,3,Presencial,69.95,Anual,Boleto Digital,Female,Não,Sim,Não,Não,67,MÉDIO,167
4716-HHKQH,Ativo,0,0.5444796834263834,1,20,Híbrido,107.05,Mensal,Boleto Digital,Male,Sim,Sim,Não,Sim,65,MÉDIO,168
9053-EJUNL,Ativo,0,0.542229196126163,1,41,Híbrido,89.2,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,77,MÉDIO,169
9885-AIBVB,Ativo,0,0.5420257470110199,1,29,Híbrido,85.8,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,70,MÉDIO,170
1580-BMCMR,Ativo,0,0.5414768019753484,1,19,Híbrido,87.3,Mensal,Boleto Digital,Male,Sim,Sim,Sim,Não,70,MÉDIO,171
